Taxon,Category,Associated crop type general,Associated crop type specific,Genus,Associated crop,SRSex,GRSex,ERSex,FCSex,FCSex priority category,SRSin,GRSin,ERSin,FCSin,FCSin priority category,FCSex value,FCSin value,FCSc_min,FCSc_max,FCSc mean,FCSc_min priority category,FCSc_max priority category,FCSc mean priority category,EOO status,AOO status,Combined threat assessment status,file_path
Acer saccharum subsp. floridanum,(1)A,Food,Sugars,Acer,Sugar maple,1.487826871,0.0,0.0,0.49594229,HP,3.1847133760000004,2.599532187,83.33333333,29.70585963,MP,0.49594229,29.70585963,0.49594229,29.70585963,15.10090096,HP,MP,HP,Least Concern (LC),Least Concern (LC),Least Concern (LC),./compiledSummaryDocs/Acer/Acer saccharum subsp. floridanum_Run20200203_2020-07-27.html
Acer saccharum subsp. leucoderme,(1)A,Food,Sugars,Acer,Sugar maple,2.324080052,3.1215950660000003,16.66666667,7.370780595,HP,9.638554217000001,3.766367206,90.90909091,34.77133744,MP,7.370780595,34.77133744,7.370780595,34.77133744,21.07105902,HP,MP,HP,Least Concern (LC),Least Concern (LC),Least Concern (LC),./compiledSummaryDocs/Acer/Acer saccharum subsp. leucoderme_Run20200203_2020-07-27.html
Acer saccharum subsp. nigrum,(1)A,Food,Sugars,Acer,Sugar maple,3.1648800410000004,0.966160365,10.0,4.710346802,HP,3.636363636000001,2.55568732,95.0,33.73068365,MP,4.710346802,33.73068365,4.710346802,33.73068365,19.22051523,HP,MP,HP,Least Concern (LC),Least Concern (LC),Least Concern (LC),./compiledSummaryDocs/Acer/Acer saccharum subsp. nigrum_Run20200203_2020-07-27.html
Acer saccharum subsp. ozarkense,(1)A,Food,Sugars,Acer,Sugar maple,0.0,0.0,0.0,0.0,HP,0.0,,,0.0,HP,0.0,0.0,0.0,0.0,0.0,HP,HP,HP,Critically Endangered (CR),Endangered (EN),Critically Endangered (CR),./compiledSummaryDocs/Acer/Acer saccharum subsp. ozarkense_Run20200203_2020-07-27.html
Acer saccharum subsp. saccharum,(1)A,Food,Sugars,Acer,Sugar maple,1.859337106,0.0,0.0,0.619779035,HP,4.637681159,4.581083236,85.0,31.4062548,MP,0.619779035,31.4062548,0.619779035,31.4062548,16.01301692,HP,MP,HP,Least Concern (LC),Least Concern (LC),Least Concern (LC),./compiledSummaryDocs/Acer/Acer saccharum subsp. saccharum_Run20200203_2020-07-27.html
Allium aaseae,(1)C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",3.409090909,41.28793111,100.0,48.23234067,MP,12.5,9.638504182,100.0,40.71283473,MP,48.23234067,40.71283473,40.71283473,48.23234067,44.47258770000001,MP,MP,MP,Endangered (EN),Vulnerable (VU),Endangered (EN),./compiledSummaryDocs/Allium/Allium aaseae_Run20200203_2020-07-27.html
Allium acuminatum,(1)C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",1.088169643,14.74546907,34.61538462,16.81634111,HP,13.94686907,10.295407,95.83333333,40.02520314,MP,16.81634111,40.02520314,16.81634111,40.02520314,28.42077212,HP,MP,MP,Least Concern (LC),Least Concern (LC),Least Concern (LC),./compiledSummaryDocs/Allium/Allium acuminatum_Run20200203_2020-07-27.html
Allium amplectens,(1)C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",1.300954033,17.749744500000006,69.23076923,29.42715592,MP,13.45707657,9.745696242000001,100.0,41.06759094,MP,29.42715592,41.06759094,29.42715592,41.06759094,35.24737343,MP,MP,MP,Least Concern (LC),Least Concern (LC),Least Concern (LC),./compiledSummaryDocs/Allium/Allium amplectens_Run20200203_2020-07-27.html
Allium bigelovii,(1)C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",0.78125,8.827123967999999,33.33333333,14.31390243,HP,25.0,3.909211747,66.66666667,31.85862614,MP,14.31390243,31.85862614,14.31390243,31.85862614,23.08626429,HP,MP,HP,Least Concern (LC),Least Concern (LC),Least Concern (LC),./compiledSummaryDocs/Allium/Allium bigelovii_Run20200203_2020-07-27.html
Allium bisceptrum,(1)C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",0.628930818,3.262234179,11.76470588,5.218623626,HP,19.94219653,20.24026447,94.11764706,44.76670269,MP,5.218623626,44.76670269,5.218623626,44.76670269,24.99266316,HP,MP,HP,Least Concern (LC),Least Concern (LC),Least Concern (LC),./compiledSummaryDocs/Allium/Allium bisceptrum_Run20200203_2020-07-27.html
